backend,global_chunk,doc_id,local_chunk
bert,5,,
bert,8,,
bert,18,,
bert,23,,
bert,29,,
bert,37,,
bert,44,,
bert,52,,
bert,56,,
bert,68,,
bert,72,,
bert,76,,
bert,85,,
bert,90,,
bert,104,,
bert,122,,
bert,130,,
bert,134,,
bert,139,,
bert,145,,
bert,150,,
bert,153,,
bert,161,,
bert,167,,
bert,174,,
bert,179,,
bert,186,,
bert,193,,
bert,198,,
bert,214,,
bert,225,,
bert,228,,
bert,235,,
bert,239,,
bert,247,,
bert,253,,
bert,259,,
bert,266,,
bert,285,,
bert,291,,
bert,295,,
bert,302,,
bert,310,,
bert,317,,
bert,320,,
bert,326,,
bert,331,,
bert,336,,
bert,340,,
bert,345,,
bert,350,,
bert,358,,
bert,366,,
bert,374,,
bert,378,,
bert,384,,
bert,389,,
bert,394,,
bert,399,,
bert,403,,
bert,407,,
bert,429,,
bert,434,,
bert,438,,
bert,443,,
bert,447,,
bert,456,,
bert,460,,
bert,466,,
bert,474,,
bert,478,,
bert,481,,
bert,492,,
bert,495,,
bert,506,,
bert,514,,
bert,518,,
bert,521,,
bert,529,,
bert,532,,
bert,541,,
bert,549,,
bert,553,,
bert,558,,
bert,561,,
bert,566,,
bert,583,,
bert,587,,
bert,594,,
bert,600,,
bert,606,,
bert,610,,
bert,619,,
bert,628,,
bert,642,,
bert,645,,
bert,652,,
bert,657,,
bert,660,,
bert,666,,
bert,673,,
bert,677,,
bert,681,,
bert,686,,
bert,692,,
bert,697,,
bert,702,,
bert,714,,
bert,717,,
bert,725,,
bert,730,,
bert,733,,
bert,737,,
bert,740,,
