backend,global_chunk,doc_id,local_chunk
bert,2,,
bert,5,,
bert,8,,
bert,11,,
bert,18,,
bert,23,,
bert,29,,
bert,38,,
bert,44,,
bert,47,,
bert,52,,
bert,58,,
bert,62,,
bert,67,,
bert,72,,
bert,76,,
bert,86,,
bert,90,,
bert,104,,
bert,110,,
bert,114,,
bert,118,,
bert,122,,
bert,130,,
bert,134,,
bert,138,,
bert,145,,
bert,150,,
bert,153,,
bert,161,,
bert,167,,
bert,174,,
bert,179,,
bert,182,,
bert,186,,
bert,190,,
bert,193,,
bert,198,,
bert,206,,
bert,210,,
bert,214,,
bert,218,,
bert,226,,
bert,235,,
bert,246,,
bert,249,,
bert,254,,
bert,259,,
bert,262,,
bert,266,,
bert,270,,
bert,278,,
bert,282,,
bert,285,,
bert,291,,
bert,295,,
bert,302,,
bert,306,,
bert,310,,
bert,317,,
bert,320,,
bert,323,,
bert,326,,
bert,331,,
bert,334,,
bert,338,,
bert,342,,
bert,345,,
bert,350,,
bert,353,,
bert,358,,
bert,366,,
bert,374,,
bert,378,,
bert,385,,
bert,389,,
bert,394,,
bert,399,,
bert,403,,
bert,407,,
bert,414,,
bert,422,,
bert,427,,
bert,434,,
bert,438,,
bert,443,,
bert,447,,
bert,453,,
bert,456,,
bert,460,,
bert,466,,
bert,474,,
bert,478,,
bert,482,,
bert,491,,
bert,495,,
bert,506,,
bert,509,,
bert,514,,
bert,518,,
bert,521,,
bert,526,,
bert,530,,
bert,534,,
bert,541,,
bert,549,,
bert,554,,
bert,558,,
bert,561,,
bert,566,,
bert,570,,
bert,578,,
bert,583,,
bert,586,,
bert,594,,
bert,598,,
bert,606,,
bert,610,,
bert,619,,
bert,622,,
bert,628,,
bert,635,,
bert,642,,
bert,645,,
bert,649,,
bert,652,,
bert,657,,
bert,660,,
bert,666,,
bert,671,,
bert,675,,
bert,681,,
bert,686,,
bert,690,,
bert,694,,
bert,698,,
bert,702,,
bert,714,,
bert,717,,
bert,725,,
bert,730,,
bert,733,,
bert,741,,
